policy,trace,ipc
l3exclusive,bfs-10.trace.gz,0.228269
l3exclusive,bfs-14.trace.gz,0.282208
l3exclusive,bfs-3.trace.gz,0.25165
l3exclusive,bfs-8.trace.gz,0.302148
l3exclusive,bc-0.trace.gz,0.13577
l3exclusive,sssp-14.trace.gz,0.318372
l3exclusive,cc-5.trace.gz,0.266134
l3exclusive,pr-14.trace.gz,0.06883
l3inclusive,bfs-10.trace.gz,0.231904
l3inclusive,bfs-14.trace.gz,0.288387
l3inclusive,bfs-3.trace.gz,0.25551
l3inclusive,bfs-8.trace.gz,0.31455
l3inclusive,bc-0.trace.gz,0.1363
l3inclusive,sssp-14.trace.gz,0.316352
l3inclusive,cc-5.trace.gz,0.249838
l3inclusive,pr-14.trace.gz,0.0613104
inclusive,bfs-10.trace.gz,0.231009
inclusive,bfs-14.trace.gz,
inclusive,bfs-3.trace.gz,0.254545
inclusive,bfs-8.trace.gz,
inclusive,bc-0.trace.gz,
inclusive,sssp-14.trace.gz,
inclusive,cc-5.trace.gz,
inclusive,pr-14.trace.gz,
cache,bfs-10.trace.gz,0.227234
cache,bfs-14.trace.gz,0.280234
cache,bfs-3.trace.gz,0.250164
cache,bfs-8.trace.gz,0.299365
cache,bc-0.trace.gz,0.12941
cache,sssp-14.trace.gz,0.303221
cache,cc-5.trace.gz,0.247962
cache,pr-14.trace.gz,0.0612992
